TIMESTAMP        work2-RQ         work2-RD         work2-WR         
648.000000        6.100000          0.001938          0.001240         
658.000000        6.100000          0.001938          0.001240         
669.000000        5.545454          0.001762          0.001127         
679.000000        6.500000          0.001938          0.001240         
689.000000        6.100000          0.001938          0.001240         
699.000000        6.100000          0.001938          0.001240         
710.000000        5.545454          0.001762          0.001127         
720.000000        6.100000          0.001938          0.001240         
730.000000        6.100000          0.001938          0.001240         
740.000000        6.100000          0.001938          0.001240         
751.000000        5.818181          0.001762          0.001127         
761.000000        6.100000          0.001938          0.001240         
771.000000        6.100000          0.001938          0.001240         
782.000000        5.545454          0.001762          0.001127         
792.000000        6.100000          0.001938          0.001239         
802.000000        6.100000          0.001938          0.001240         
812.000000        6.100000          0.001938          0.001240         
823.000000        5.545454          0.001762          0.001127         
833.000000        6.400000          0.001938          0.001240         
843.000000        6.100000          0.001938          0.001240         
853.000000        6.100000          0.001938          0.001240         
864.000000        32.727272         0.025810          0.034633         
874.000000        6.400000          0.002213          0.001377         
884.000000        6.400000          0.002214          0.001377         
895.000000        5.909090          0.002012          0.001252         
905.000000        6.700000          0.002214          0.001377         
915.000000        6.400000          0.002214          0.001377         
926.000000        5.818181          0.002012          0.001252         
936.000000        6.400000          0.002214          0.001377         
946.000000        6.400000          0.002214          0.001377         
956.000000        6.400000          0.002214          0.001377         
967.000000        5.818181          0.002013          0.001252         
977.000000        6.700000          0.002214          0.001378         
987.000000        6.400000          0.002214          0.001378         
997.000000        6.400000          0.002214          0.001378         
1008.000000       5.818181          0.002013          0.001252         
1018.000000       6.400000          0.002214          0.001378         
1028.000000       6.400000          0.002214          0.001378         
1039.000000       5.818181          0.002013          0.001252         
1049.000000       6.400000          0.002214          0.001378         
1059.000000       6.700000          0.002214          0.001378         
1069.000000       6.400000          0.002214          0.001378         
1080.000000       5.818181          0.002013          0.001253         
1090.000000       6.400000          0.002214          0.001378         
1100.000000       6.400000          0.002214          0.001378         
1111.000000       33.181818         0.025857          0.027530         
1121.000000       30.700000         0.024592          0.012567         
1131.000000       6.400000          0.001938          0.001240         
1142.000000       5.545454          0.001762          0.001127         
1152.000000       6.100000          0.001938          0.001240         
1162.000000       6.100000          0.001938          0.001240         
1173.000000       5.545454          0.001762          0.001127         
1183.000000       6.100000          0.001938          0.001240         
1193.000000       6.100000          0.001938          0.001240         
1203.000000       7.400000          0.085717          0.004013         
1214.000000       5.545454          0.001762          0.001127         
1224.000000       6.100000          0.001938          0.001240         
1234.000000       6.100000          0.001938          0.001240         
1244.000000       6.100000          0.001938          0.001240         
1255.000000       5.545454          0.001762          0.001127         
1265.000000       6.100000          0.001938          0.001240         
1275.000000       6.200000          0.001938          0.001240         
1286.000000       5.818181          0.001762          0.001127         
1296.000000       6.100000          0.001938          0.001240         
1306.000000       6.100000          0.001938          0.001240         
1316.000000       6.100000          0.001938          0.001240         
1327.000000       5.545454          0.001762          0.001127         
1337.000000       6.100000          0.001938          0.001240         
1347.000000       6.100000          0.001938          0.001240         
1357.000000       6.400000          0.001938          0.001240         
