#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072772 898614929 769430474 238016383 209346617 83583056 76884576 825600 930308 91185.56 93843.81 3935.89 2884.62
1669072782 898614929 769430474 238016383 209346617 83583109 76884626 825600 930308 91184.98 93843.72 3935.96 2884.63
1669072792 898614929 769430474 238016383 209346617 83583160 76884676 825600 930308 91185.73 93843.79 3934.71 2884.14
1669072803 898614929 769430474 238016383 209346617 83583212 76884723 825600 930308 91186.69 93844.40 3934.62 2884.20
1669072813 898614929 769430474 238016383 209346617 83583260 76884777 825600 930308 91188.11 93842.86 3933.34 2885.54
1669072823 898614929 769430474 238016383 209346617 83583312 76884825 825600 930308 91186.10 93844.77 3935.34 2882.59
1669072833 898614929 769430474 238016383 209346617 83583364 76884872 825600 930308 91186.80 93844.13 3935.11 2883.23
1669072844 898614929 769430474 238016383 209346617 83583419 76884919 825600 930308 91187.99 93846.19 3933.45 2882.21
1669072854 898614929 769430474 238016383 209346617 83583474 76884963 825600 930308 91188.45 93845.27 3934.04 2882.58
1669072864 898614929 769430474 238016383 209346617 83583531 76885008 825600 930308 91187.00 93845.23 3935.40 2883.12
1669072874 898614929 769430474 238016383 209346617 83583584 76885055 825600 930308 91187.99 93845.06 3933.33 2882.42
1669072885 898614929 769430474 238016383 209346617 83583633 76885106 825600 930308 91187.57 93844.72 3933.81 2884.14
1669072895 898614929 769430474 238016383 209346617 83583683 76885157 825600 930308 91186.24 93843.29 3935.16 2884.07
1669072905 898614929 769430474 238016383 209346617 83583738 76885202 825600 930308 91187.17 93844.41 3933.66 2885.02
1669072916 898614929 769430474 238016383 209346617 83583781 76885261 825600 930308 91187.84 93843.81 3933.99 2884.16
1669072926 898614929 769430474 238016383 209346617 83583825 76885316 825600 930308 91187.70 93842.33 3933.68 2885.53
1669072936 898614929 769430474 238016383 209346617 83583877 76885364 825600 930308 91185.73 93843.10 3935.70 2884.87
1669072946 898614929 769430474 238016383 209346617 83583935 76885409 825600 930308 91186.76 93843.71 3934.68 2884.70
1669072957 898614929 769430474 238016383 209346617 83583990 76885454 825600 930308 91188.05 93843.86 3933.03 2883.78
