#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1669072720        0.109550          0.109550          0.003105          0.003105          0.000000          180.695000        0.003105         
1669072731        0.109550          0.109550          0.003105          0.003105          0.000000          180.696000        0.003105         
1669072741        0.109550          0.109550          0.003105          0.003105          0.000000          180.697000        0.003105         
1669072751        0.109550          0.109550          0.003105          0.003105          0.000000          180.696000        0.003105         
1669072761        0.109550          0.109550          0.003105          0.003105          0.000000          180.696000        0.003105         
1669072772        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072782        0.109550          0.109550          0.003105          0.003105          0.000000          180.694000        0.003105         
1669072792        0.109550          0.109550          0.003109          0.003109          0.000000          180.694000        0.003109         
1669072802        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072813        0.109550          0.109550          0.003109          0.003109          0.000000          180.694000        0.003109         
1669072823        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072833        0.109550          0.109550          0.003109          0.003109          0.000000          180.695000        0.003109         
1669072844        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072854        0.109550          0.109550          0.003109          0.003109          0.000000          180.698000        0.003109         
1669072864        0.109550          0.109550          0.003109          0.003109          0.000000          180.697000        0.003109         
1669072874        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072885        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072895        0.109550          0.109550          0.003109          0.003109          0.000000          180.694000        0.003109         
1669072905        0.109550          0.109550          0.003109          0.003109          0.000000          180.695000        0.003109         
1669072915        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072926        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072936        0.109550          0.109550          0.003109          0.003109          0.000000          180.694000        0.003109         
1669072946        0.109550          0.109550          0.003109          0.003109          0.000000          180.695000        0.003109         
1669072957        0.109550          0.109550          0.003109          0.003109          0.000000          180.696000        0.003109         
1669072967        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669072977        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669072987        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669072998        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073008        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073018        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073028        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073039        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073049        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073059        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073069        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073080        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073090        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073100        0.109550          0.109550          0.003113          0.003113          0.000000          180.697000        0.003113         
1669073110        0.109550          0.109550          0.003113          0.003113          0.000000          180.696000        0.003113         
1669073121        0.109550          0.109550          0.003113          0.003113          0.000000          180.696000        0.003113         
1669073131        0.109550          0.109550          0.003113          0.003113          0.000000          180.696000        0.003113         
1669073141        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073152        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073162        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073172        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073182        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073193        0.109550          0.109550          0.003113          0.003113          0.000000          180.691000        0.003113         
1669073203        0.109550          0.109550          0.003113          0.003113          0.000000          180.691000        0.003113         
1669073213        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073223        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073234        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073244        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073254        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073265        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073275        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073285        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073295        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073306        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073316        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073326        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073336        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073347        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073357        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073367        0.109550          0.109550          0.003113          0.003113          0.000000          180.692000        0.003113         
1669073378        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073388        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073398        0.109550          0.109550          0.003113          0.003113          0.000000          180.693000        0.003113         
1669073408        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073419        0.109550          0.109550          0.003113          0.003113          0.000000          180.694000        0.003113         
1669073429        0.109550          0.109550          0.003113          0.003113          0.000000          180.695000        0.003113         
1669073439        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073449        0.109550          0.109550          0.003117          0.003117          0.000000          180.690000        0.003117         
1669073460        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073470        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073480        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073491        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073501        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073511        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073521        0.109550          0.109550          0.003117          0.003117          0.000000          180.696000        0.003117         
1669073532        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073542        0.109550          0.109550          0.003117          0.003117          0.000000          180.694000        0.003117         
1669073552        0.109550          0.109550          0.003117          0.003117          0.000000          180.694000        0.003117         
1669073562        0.109550          0.109550          0.003117          0.003117          0.000000          180.693000        0.003117         
1669073573        0.109550          0.109550          0.003117          0.003117          0.000000          180.694000        0.003117         
1669073583        0.109550          0.109550          0.003117          0.003117          0.000000          180.694000        0.003117         
1669073593        0.109550          0.109550          0.003117          0.003117          0.000000          180.694000        0.003117         
1669073604        0.109550          0.109550          0.003117          0.003117          0.000000          180.696000        0.003117         
1669073614        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073624        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073634        0.109550          0.109550          0.003117          0.003117          0.000000          180.695000        0.003117         
1669073645        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073655        0.109550          0.109550          0.003120          0.003120          0.000000          180.696000        0.003120         
1669073665        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073675        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073686        0.109550          0.109550          0.003120          0.003120          0.000000          180.696000        0.003120         
1669073696        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073706        0.109550          0.109550          0.003120          0.003120          0.000000          180.693000        0.003120         
1669073717        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073727        0.109550          0.109550          0.003120          0.003120          0.000000          180.693000        0.003120         
1669073737        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073747        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073758        0.109550          0.109550          0.003120          0.003120          0.000000          180.696000        0.003120         
1669073768        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073778        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073788        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073799        0.109550          0.109550          0.003120          0.003120          0.000000          180.696000        0.003120         
1669073809        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073819        0.109550          0.109550          0.003120          0.003120          0.000000          180.692000        0.003120         
1669073829        0.109550          0.109550          0.003120          0.003120          0.000000          180.693000        0.003120         
1669073840        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073850        0.109550          0.109550          0.003120          0.003120          0.000000          180.693000        0.003120         
1669073860        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073871        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073881        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073891        0.109550          0.109550          0.003120          0.003120          0.000000          180.694000        0.003120         
1669073901        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073912        0.109550          0.109550          0.003120          0.003120          0.000000          180.695000        0.003120         
1669073922        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669073932        0.109550          0.109550          0.003124          0.003124          0.000000          180.694000        0.003124         
1669073942        0.109550          0.109550          0.003124          0.003124          0.000000          180.694000        0.003124         
1669073953        0.109550          0.109550          0.003124          0.003124          0.000000          180.693000        0.003124         
1669073963        0.109550          0.109550          0.003124          0.003124          0.000000          180.694000        0.003124         
1669073973        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669073984        0.109550          0.109550          0.003124          0.003124          0.000000          180.694000        0.003124         
1669073994        0.109550          0.109550          0.003124          0.003124          0.000000          180.694000        0.003124         
1669074004        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074014        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074025        0.109550          0.109550          0.003124          0.003124          0.000000          180.697000        0.003124         
1669074035        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074045        0.109550          0.109550          0.003124          0.003124          0.000000          180.693000        0.003124         
1669074055        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074066        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074076        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074086        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074096        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074107        0.109550          0.109550          0.003124          0.003124          0.000000          180.697000        0.003124         
1669074117        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074127        0.109550          0.109550          0.003124          0.003124          0.000000          180.697000        0.003124         
1669074138        0.109550          0.109550          0.003124          0.003124          0.000000          180.697000        0.003124         
1669074148        0.109550          0.109550          0.003124          0.003124          0.000000          180.698000        0.003124         
1669074158        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074168        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074179        0.109550          0.109550          0.003124          0.003124          0.000000          180.696000        0.003124         
1669074189        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
