TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch-RQ       scratch-RD       scratch-WR       
1669072875        0                0                 0                0                 0                0                 0                0                 0                
1669072885        0                0                 0                0                 0                0                 0                0                 0                
1669072895        0                0                 0                0                 0                0                 0                0                 0                
1669072906        0                0                 0                0                 0                0                 0                0                 0                
1669072916        0                0                 0                0                 0                0                 0                0                 0                
1669072926        0                0                 0                0                 0                0                 0                0                 0                
1669072936        0                0                 0                0                 0                0                 0                0                 0                
1669072947        0                0                 0                0                 0                0                 0                0                 0                
1669072957        0                0                 0                0                 0                0                 0                0                 0                
1669072967        0                0                 0                0                 0                0                 0                0                 0                
1669072978        0                0                 0                0                 0                0                 0                0                 0                
1669072988        0                0                 0                0                 0                0                 0                0                 0                
1669072998        0                0                 0                0                 0                0                 0                0                 0                
1669073008        0                0                 0                0                 0                0                 0                0                 0                
1669073019        0                0                 0                0                 0                0                 0                0                 0                
1669073029        0                0                 0                0                 0                0                 0                0                 0                
1669073039        0                0                 0                0                 0                0                 0                0                 0                
1669073050        0                0                 0                0                 0                0                 0                0                 0                
1669073060        0                0                 0                0                 0                0                 0                0                 0                
1669073070        0                0                 0                0                 0                0                 0                0                 0                
1669073080        0                0                 0                0                 0                0                 0                0                 0                
1669073091        0                0                 0                0                 0                0                 0                0                 0                
1669073101        0                0                 0                0                 0                0                 0                0                 0                
1669073111        0                0                 0                0                 0                0                 0                0                 0                
1669073121        0                0                 0                0                 0                0                 0                0                 0                
1669073132        0                0                 0                0                 0                0                 0                0                 0                
1669073142        0                0                 0                0                 0                0                 0                0                 0                
1669073152        0                0                 0                0                 0                0                 0                0                 0                
1669073163        0                0                 0                0                 0                0                 0                0                 0                
1669073173        0                0                 0                0                 0                0                 0                0                 0                
1669073183        0                0                 0                0                 0                0                 0                0                 0                
1669073193        0                0                 0                0                 0                0                 0                0                 0                
1669073204        0                0                 0                0                 0                0                 0                0                 0                
1669073214        0                0                 0                0                 0                0                 0                0                 0                
1669073224        0                0                 0                0                 0                0                 0                0                 0                
1669073235        0                0                 0                0                 0                0                 0                0                 0                
1669073245        0                0                 0                0                 0                0                 0                0                 0                
1669073255        0                0                 0                0                 0                0                 0                0                 0                
1669073265        0                0                 0                0                 0                0                 0                0                 0                
1669073276        0                0                 0                0                 0                0                 0                0                 0                
1669073286        0                0                 0                0                 0                0                 0                0                 0                
1669073296        0                0                 0                0                 0                0                 0                0                 0                
